t_ms,accel_x_g,accel_y_g,accel_z_g,gyro_x_dps,gyro_y_dps,gyro_z_dps,imu_temp_c
6707,0.1338,-0.6177,0.6791,-6.96,8.7,-0.5,21.86
6717,0.1283,-0.6274,0.6779,-6.98,8.06,-0.46,21.86
6727,0.1338,-0.6321,0.6748,-7.19,8.03,-0.43,21.86
6737,0.1345,-0.6208,0.6726,-7.28,8.15,-0.47,21.84
6747,0.1364,-0.6184,0.6678,-7.31,8.02,-0.63,21.86
6757,0.1353,-0.6265,0.6655,-7.24,8.23,-0.55,21.86
6767,0.1378,-0.6223,0.6676,-7.27,8.52,-0.32,21.84
6777,0.1368,-0.6232,0.6729,-7.39,8.56,-0.21,21.85
6787,0.1329,-0.6281,0.6743,-7.18,8.58,-0.08,21.86
6797,0.129,-0.6249,0.6793,-7.18,8.21,0.17,21.87
6807,0.1263,-0.6259,0.6765,-7.13,7.8,-0.08,21.85
6817,0.1284,-0.6306,0.6735,-6.89,7.89,-0.17,21.86
6827,0.1262,-0.6295,0.6692,-6.96,8.38,-0.31,21.87
6837,0.126,-0.6284,0.6729,-6.87,8.67,-0.47,21.86
6847,0.1262,-0.6289,0.6681,-7.16,8.49,-0.73,21.84
6857,0.1292,-0.6317,0.6738,-7.48,8.69,-1.01,21.86
6867,0.13,-0.627,0.6709,-7.34,8.82,-1.11,21.85
6877,0.1311,-0.6246,0.6727,-6.95,8.73,-1.21,21.86
6887,0.1273,-0.6268,0.673,-6.69,8.5,-1.39,21.86
6897,0.1288,-0.6293,0.6753,-6.52,8.31,-1.42,21.86
6907,0.1328,-0.6245,0.6824,-6.47,8.55,-1.36,21.85
6917,0.1334,-0.6254,0.6781,-6.55,8.44,-1.34,21.85
6927,0.131,-0.6234,0.6736,-6.82,8.29,-1.3,21.88
6937,0.129,-0.6232,0.6705,-6.78,8.44,-1.3,21.86
6947,0.1316,-0.6266,0.6677,-6.72,8.69,-1.21,21.85
6957,0.1328,-0.6287,0.6698,-6.72,8.56,-1.15,21.86
6967,0.1394,-0.6272,0.6665,-6.66,8.73,-0.96,21.84
6977,0.1406,-0.6298,0.6652,-6.76,8.73,-0.75,21.87
6987,0.1384,-0.624,0.6627,-6.81,8.61,-0.5,21.85
