t_ms,accel_x_g,accel_y_g,accel_z_g,gyro_x_dps,gyro_y_dps,gyro_z_dps,imu_temp_c
5975,0.2266,-0.0446,0.9059,-6.26,9.94,-0.05,24.42
5985,0.2766,-0.0461,0.8707,-6.23,6.55,0.05,24.42
5995,0.2247,-0.0599,0.8884,-6.21,6.26,0.0,24.43
6005,0.2028,-0.059,0.897,-6.21,10.67,0.02,24.44
6015,0.2612,-0.0529,0.838,-6.08,7.15,-0.03,24.44
6025,0.2498,-0.0522,0.8784,-6.05,5.25,-0.02,24.43
6035,0.2212,-0.0405,0.9033,-6.12,6.56,-0.03,24.41
6045,0.2539,-0.0383,0.8806,-6.17,9.33,0.0,24.43
6055,0.2477,-0.0425,0.8723,-6.24,5.53,0.0,24.44
6065,0.2035,-0.0414,0.9084,-6.26,9.76,0.05,24.45
6075,0.2231,-0.0437,0.89,-6.18,10.78,0.06,24.44
6085,0.2419,-0.0488,0.8718,-6.18,4.05,-0.05,24.42
6095,0.1979,-0.0493,0.9098,-6.17,7.24,-0.11,24.46
6105,0.224,-0.0425,0.8972,-6.34,10.6,-0.09,24.44
6115,0.2728,-0.0424,0.8506,-6.02,5.79,-0.14,24.44
6125,0.2166,-0.0494,0.9021,-6.08,6.92,-0.08,24.43
6135,0.2245,-0.0477,0.8948,-6.18,9.56,-0.05,24.43
6145,0.2583,-0.0502,0.8553,-6.15,7.16,0.06,24.44
6155,0.2346,-0.0468,0.8846,-6.26,5.54,-0.17,24.45
6165,0.2096,-0.0496,0.9148,-6.31,10.5,-0.06,24.44
6175,0.2811,-0.0504,0.8428,-6.2,6.43,-0.15,24.46
6185,0.2092,-0.0588,0.8955,-6.18,6.43,-0.05,24.44
6195,0.2209,-0.0518,0.8937,-6.24,10.75,-0.02,24.44
6205,0.2626,-0.0494,0.8536,-6.09,5.97,0.02,24.45
6215,0.2269,-0.0459,0.8937,-6.08,6.12,-0.03,24.45
6225,0.208,-0.0381,0.9216,-6.32,9.88,-0.08,24.44
6235,0.2581,-0.0415,0.8741,-6.35,9.24,-0.09,24.45
6245,0.2545,-0.051,0.8651,-6.2,5.19,-0.11,24.44
6255,0.1967,-0.0559,0.9091,-6.24,9.97,-0.05,24.44
6265,0.2549,-0.0491,0.8522,-6.05,8.7,-0.14,24.43
6275,0.2482,-0.0496,0.8748,-6.08,4.85,-0.15,24.43
6285,0.1996,-0.0433,0.9293,-6.27,10.03,-0.11,24.44
6295,0.2493,-0.0358,0.8767,-6.31,9.22,-0.03,24.42
6305,0.2625,-0.0425,0.8617,-6.32,5.94,-0.12,24.42
6315,0.2113,-0.043,0.9023,-6.32,7.5,-0.12,24.43
6325,0.2324,-0.0541,0.8813,-6.18,10.06,-0.02,24.45
6335,0.2572,-0.0593,0.8496,-6.17,5.31,-0.09,24.46
6345,0.2014,-0.0552,0.9053,-6.09,7.94,0.03,24.44
6355,0.2296,-0.0447,0.889,-6.14,9.83,-0.08,24.4
6365,0.2665,-0.0386,0.8676,-6.15,6.63,-0.03,24.45
6375,0.2268,-0.0437,0.8945,-6.17,6.96,-0.09,24.42
6385,0.2217,-0.0465,0.895,-6.17,9.95,-0.09,24.44
6395,0.2742,-0.0488,0.8381,-6.08,6.03,-0.06,24.46
6405,0.2208,-0.0551,0.8989,-6.14,5.89,-0.09,24.47
6415,0.2147,-0.0531,0.9098,-6.34,10.69,-0.11,24.43
6425,0.2687,-0.0476,0.8586,-6.23,7.91,0.02,24.44
6435,0.2482,-0.0496,0.8717,-6.06,5.36,-0.05,24.44
6450,0.1981,-0.0511,0.9108,-6.17,8.63,-0.29,24.42
6460,0.2617,-0.0388,0.8741,-6.26,7.88,-0.08,24.46
6470,0.2533,-0.0433,0.8772,-6.2,5.73,-0.06,24.46
6480,0.2112,-0.0525,0.9008,-6.15,7.94,-0.02,24.44
6490,0.2139,-0.0542,0.8864,-6.03,10.6,-0.08,24.45
6500,0.2648,-0.0482,0.845,-6.11,6.55,-0.11,24.44
6510,0.2325,-0.0452,0.8861,-6.09,5.8,-0.17,24.45
6520,0.2092,-0.04,0.917,-6.27,9.83,-0.11,24.45
6530,0.2546,-0.0355,0.8792,-6.34,8.95,-0.2,24.43
6540,0.2573,-0.0437,0.8666,-6.17,6.09,-0.17,24.45
6551,0.2397,-0.0487,0.8741,-6.14,6.32,-0.14,24.44
6561,0.2097,-0.0496,0.9001,-6.18,8.52,-0.11,24.41
6571,0.2297,-0.0535,0.8806,-6.17,9.37,-0.06,24.42
6581,0.2643,-0.0559,0.8516,-6.08,6.32,-0.11,24.44
6591,0.2306,-0.0493,0.8934,-6.17,5.8,-0.05,24.45
6601,0.2115,-0.049,0.9126,-6.17,10.61,0.03,24.48
6611,0.2688,-0.0459,0.8579,-6.32,7.69,-0.05,24.43
6621,0.2406,-0.0536,0.873,-6.24,6.21,-0.03,24.46
6631,0.1989,-0.0463,0.908,-6.26,9.62,0.09,24.45
6641,0.2587,-0.0457,0.8606,-6.14,8.49,0.08,24.47
6651,0.2455,-0.0474,0.8811,-6.23,4.89,-0.08,24.45
6661,0.2045,-0.0447,0.9164,-6.24,9.66,-0.02,24.44
6671,0.2445,-0.0446,0.8644,-6.18,9.22,0.03,24.44
6681,0.2616,-0.0433,0.858,-6.12,5.1,-0.06,24.46
6691,0.2073,-0.0411,0.9121,-6.12,8.18,-0.03,24.45
6701,0.2389,-0.0476,0.8784,-6.14,9.86,0.06,24.47
6711,0.2666,-0.0494,0.8484,-6.11,6.05,-0.05,24.45
6721,0.2258,-0.0521,0.8934,-6.14,6.64,-0.08,24.45
6731,0.2095,-0.0509,0.9224,-6.26,8.47,-0.03,24.43
6741,0.2714,-0.0516,0.8647,-6.27,7.56,-0.02,24.44
6751,0.261,-0.0499,0.8561,-6.18,6.14,0.0,24.46
6761,0.2134,-0.0547,0.8956,-6.14,6.9,-0.03,24.44
6771,0.2137,-0.0612,0.9,-6.11,9.56,-0.02,24.45
6781,0.2469,-0.0557,0.8693,-6.21,7.95,-0.05,24.43
6791,0.2429,-0.0548,0.8707,-6.15,6.41,0.03,24.46
6801,0.2233,-0.0514,0.8993,-6.23,7.45,-0.03,24.45
6811,0.2272,-0.0449,0.9042,-6.21,9.53,-0.11,24.45
6821,0.252,-0.0383,0.8776,-6.26,8.23,-0.03,24.48
6831,0.2581,-0.0481,0.8704,-6.24,6.24,-0.05,24.46
6841,0.219,-0.0563,0.8931,-6.17,8.03,0.0,24.47
6851,0.2247,-0.0591,0.8812,-6.21,9.07,-0.09,24.46
6861,0.2356,-0.0559,0.8712,-6.12,7.98,-0.06,24.47
6871,0.239,-0.0486,0.8717,-6.17,6.7,-0.12,24.46
6881,0.2194,-0.0437,0.8971,-6.14,7.04,-0.02,24.46
6891,0.2107,-0.036,0.9087,-6.32,9.4,-0.08,24.45
6901,0.2472,-0.0378,0.8794,-6.26,8.99,-0.05,24.48
6911,0.2552,-0.0449,0.864,-6.26,6.41,-0.21,24.47
6921,0.2192,-0.0531,0.891,-6.08,6.9,-0.05,24.47
6931,0.2141,-0.0531,0.8906,-6.15,9.71,-0.02,24.47
6941,0.2271,-0.0492,0.8896,-6.17,9.91,0.0,24.49
6951,0.271,-0.0433,0.8462,-6.09,5.73,-0.02,24.46
6961,0.1976,-0.0298,0.9193,-6.29,9.28,-0.09,24.49
6971,0.2395,-0.0284,0.8875,-6.26,9.82,-0.03,24.49
6981,0.2588,-0.0355,0.8627,-6.24,6.35,-0.11,24.49
6992,0.25,-0.0471,0.8679,-6.17,6.35,-0.05,24.47
