t_ms,accel_x_g,accel_y_g,accel_z_g,gyro_x_dps,gyro_y_dps,gyro_z_dps,imu_temp_c
6876,0.3281,-0.0265,0.8643,-6.7,7.94,-0.03,29.44
6886,0.3258,-0.0264,0.8677,-6.64,8.02,0.02,29.45
6896,0.3282,-0.0253,0.8669,-6.73,8.08,-0.05,29.45
6906,0.3284,-0.0248,0.8641,-6.72,7.94,-0.08,29.45
6916,0.3282,-0.0269,0.865,-6.73,7.97,0.0,29.47
6926,0.3276,-0.0259,0.8651,-6.73,7.92,-0.03,29.45
6936,0.3289,-0.0286,0.8663,-6.72,8.05,-0.02,29.47
6947,0.3269,-0.0282,0.8636,-6.79,7.95,-0.02,29.46
6959,0.3274,-0.0273,0.8636,-6.73,8.0,-0.03,29.46
6969,0.328,-0.0243,0.8661,-6.75,7.98,-0.03,29.46
6979,0.3275,-0.0233,0.8669,-6.66,7.91,-0.03,29.46
6989,0.3285,-0.0278,0.8615,-6.67,7.98,-0.09,29.45
6999,0.327,-0.0271,0.8654,-6.67,7.92,-0.05,29.45
